<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
9040.HK,D,20231220,000000,3.034,3.034,3.01,3.01,60000,0
9040.HK,D,20231221,000000,3.018,3.018,3.018,3.018,0,0
9040.HK,D,20231222,000000,3.016,3.016,2.92,2.92,186900,0
9040.HK,D,20231227,000000,2.966,2.98,2.952,2.98,123000,0
9040.HK,D,20231228,000000,3.012,3.076,3.012,3.068,142200,0
9040.HK,D,20231229,000000,3.068,3.068,3.068,3.068,0,0
9040.HK,D,20240102,000000,3.038,3.038,3.038,3.038,0,0
9040.HK,D,20240103,000000,3.024,3.024,3.024,3.024,0,0
9040.HK,D,20240104,000000,3.02,3.022,3.02,3.022,20000,0
9040.HK,D,20240105,000000,2.994,2.994,2.994,2.994,0,0
9040.HK,D,20240108,000000,2.954,2.954,2.916,2.918,40000,0
9040.HK,D,20240109,000000,2.918,2.918,2.918,2.918,0,0
9040.HK,D,20240110,000000,2.914,2.914,2.914,2.914,0,0
9040.HK,D,20240111,000000,2.94,2.94,2.94,2.94,0,0
9040.HK,D,20240112,000000,2.938,2.938,2.938,2.938,0,0
9040.HK,D,20240115,000000,2.922,2.922,2.922,2.922,0,0
9040.HK,D,20240116,000000,2.872,2.872,2.872,2.872,10000,0
9040.HK,D,20240117,000000,2.812,2.812,2.754,2.76,75200,0
9040.HK,D,20240118,000000,2.76,2.788,2.76,2.788,60000,0
9040.HK,D,20240119,000000,2.788,2.798,2.754,2.754,80000,0
9040.HK,D,20240122,000000,2.688,2.692,2.662,2.688,81100,0
9040.HK,D,20240123,000000,2.708,2.784,2.702,2.754,300000,0
9040.HK,D,20240124,000000,2.816,2.854,2.766,2.854,216000,0
9040.HK,D,20240125,000000,2.912,2.912,2.912,2.912,0,0
9040.HK,D,20240126,000000,2.902,2.904,2.864,2.864,30000,0
9040.HK,D,20240129,000000,2.87,2.87,2.87,2.87,0,0
9040.HK,D,20240130,000000,2.788,2.788,2.788,2.788,0,0
9040.HK,D,20240131,000000,2.742,2.742,2.742,2.742,0,0
9040.HK,D,20240201,000000,2.756,2.756,2.756,2.756,0,0
