<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
6288.HK,D,20141031,000000,26.6299,28.1116,26.2819,27.6659,118105.64315758,0
6288.HK,D,20141103,000000,27.7158,28.2592,27.5183,27.8643,142092.01285625,0
6288.HK,D,20141104,000000,27.9132,28.0129,26.8263,27.5183,34916.524533768,0
6288.HK,D,20141105,000000,27.5672,28.2592,27.5672,28.2592,58901.891373936,0
6288.HK,D,20141106,000000,28.3081,28.3081,27.7656,27.8643,95941.467360672,0
6288.HK,D,20141107,000000,27.7656,27.9631,27.6659,27.8643,25502.69175672,0
6288.HK,D,20141110,000000,27.6659,28.0628,27.4206,27.9631,158183.88041143,0
6288.HK,D,20141111,000000,27.8643,28.5564,27.8643,28.4078,117497.91090415,0
6288.HK,D,20141112,000000,28.6551,28.7538,28.5065,28.6551,86226.777032424,0
6288.HK,D,20141113,000000,28.6052,28.8515,28.2592,28.8037,101710.91233418,0
6288.HK,D,20141114,000000,28.9014,28.9014,28.5564,28.7049,31273.139588736,0
6288.HK,D,20141117,000000,28.6551,28.6551,27.4705,27.7656,64670.333488944,0
6288.HK,D,20141118,000000,28.0628,28.0628,27.8643,27.9631,16699.599808608,0
6288.HK,D,20141119,000000,27.9631,28.0129,27.7656,27.7656,14269.673653416,0
6288.HK,D,20141120,000000,27.5672,27.9132,27.271,27.271,5769.444973512,0
6288.HK,D,20141121,000000,27.271,27.6659,27.271,27.4705,2731.786564896,0
6288.HK,D,20141124,000000,27.9631,28.1116,27.7158,27.7158,11840.750356728,0
6288.HK,D,20141125,000000,27.5672,27.5672,27.5183,27.5183,1518.327775056,0
6288.HK,D,20141126,000000,27.0736,27.1235,26.9749,27.1235,74081.15769048,0
6288.HK,D,20141127,000000,27.2212,27.3209,27.2212,27.3209,1822.193901768,0
6288.HK,D,20141128,000000,27.5672,27.6171,27.3209,27.3209,21861.312528696,0
6288.HK,D,20141201,000000,27.3209,27.4206,27.271,27.271,18824.656978584,0
6288.HK,D,20141202,000000,27.4206,27.4206,27.2212,27.4206,13661.941399992,0
6288.HK,D,20141203,000000,28.4577,28.4577,27.6659,27.6659,57686.426867088,0
6288.HK,D,20141204,000000,27.6659,27.6659,27.0736,27.271,190670.47879001,0
6288.HK,D,20141205,000000,27.0736,27.0736,27.0736,27.0736,4857.846593376,0
6288.HK,D,20141208,000000,27.2212,27.2212,26.6787,26.6787,11536.884230016,0
6288.HK,D,20141209,000000,26.8762,27.0736,26.8762,27.0736,5769.444973512,0
6288.HK,D,20141210,000000,26.6787,26.7276,26.6787,26.6787,7286.769890064,0
6288.HK,D,20141211,000000,26.6787,26.6787,26.4314,26.4314,9411.82706004,0
6288.HK,D,20141212,000000,27.0247,27.0247,26.8762,26.8762,13360.080990288,0
6288.HK,D,20141215,000000,26.5312,26.6787,26.5312,26.6787,1518.327775056,0
6288.HK,D,20141216,000000,26.6787,26.6787,26.6787,26.6787,6072.30824172,0
6288.HK,D,20141217,000000,26.7276,26.8263,26.7276,26.8263,1518.327775056,0
6288.HK,D,20141218,000000,27.271,27.7656,27.271,27.7158,18924.942828984,0
6288.HK,D,20141219,000000,27.9132,28.2094,27.9132,28.0628,16699.599808608,0
6288.HK,D,20141222,000000,28.2592,28.2592,28.2094,28.2094,1518.327775056,0
6288.HK,D,20141223,000000,28.0129,28.0129,27.9631,27.9631,1518.327775056,0
6288.HK,D,20141224,000000,28.4577,28.7049,28.3081,28.5065,40987.829916984,0
6288.HK,D,20141229,000000,28.5065,28.8037,28.1116,28.1116,19431.386373504,0
6288.HK,D,20141230,000000,27.6659,27.6659,27.6171,27.6171,303.866126712,0
6288.HK,D,20141231,000000,27.6171,27.6171,27.4206,27.4206,6982.903763352,0
