<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
83001.HK,D,20220425,000000,153.458,153.458,153.21,153.458,860.80358069546,0
83001.HK,D,20220426,000000,152.862,152.862,152.316,152.862,498.35996777106,0
83001.HK,D,20220427,000000,152.862,152.862,152.862,152.862,0,0
83001.HK,D,20220428,000000,154.104,155.842,154.104,155.842,312.10422224046,0
83001.HK,D,20220429,000000,160.361,161.007,160.361,161.007,850.73570255867,0
83001.HK,D,20220503,000000,161.851,161.851,161.405,161.405,432.91875988193,0
83001.HK,D,20220504,000000,160.511,160.511,160.511,160.511,0,0
83001.HK,D,20220505,000000,160.064,160.064,160.064,160.064,0,0
83001.HK,D,20220506,000000,158.922,158.922,158.922,158.922,0,0
83001.HK,D,20220510,000000,156.488,156.488,153.26,153.26,2416.2907528294,0
83001.HK,D,20220511,000000,152.068,152.068,152.068,152.068,0,0
83001.HK,D,20220512,000000,147.99,148.19,147.99,148.19,336.040257276,0
83001.HK,D,20220513,000000,145.349,145.349,145.349,145.349,0,0
83001.HK,D,20220516,000000,147.492,147.492,147.492,147.492,0,0
83001.HK,D,20220517,000000,150.832,150.832,146.246,146.246,1715.309969976,0
83001.HK,D,20220518,000000,146.246,146.246,146.246,146.246,110.341577016,0
83001.HK,D,20220519,000000,146.794,146.794,146.794,146.794,0,0
83001.HK,D,20220520,000000,147.392,148.339,147.293,148.24,1188.679716036,0
83001.HK,D,20220523,000000,148.24,148.24,148.24,148.24,0,0
83001.HK,D,20220524,000000,148.04,148.04,147.891,148.04,952.94998332,0
83001.HK,D,20220525,000000,145.947,145.947,145.947,145.947,0,0
83001.HK,D,20220526,000000,145.598,145.598,145.598,145.598,0,0
83001.HK,D,20220527,000000,142.308,142.308,141.212,141.212,150.46578684,0
83001.HK,D,20220530,000000,139.965,139.965,139.965,139.965,0,0
83001.HK,D,20220531,000000,138.819,138.819,138.819,138.819,0,0
83001.HK,D,20220601,000000,138.37,138.37,138.37,138.37,0,0
83001.HK,D,20220602,000000,138.37,138.37,138.37,138.37,0,0
83001.HK,D,20220606,000000,135.629,136.127,135.629,136.127,1860.760230588,0
83001.HK,D,20220607,000000,136.875,136.875,136.875,136.875,100.31052456,0
83001.HK,D,20220608,000000,137.623,137.623,137.623,137.623,802.48419648,0
83001.HK,D,20220609,000000,136.626,136.626,136.277,136.277,446.381834292,0
83001.HK,D,20220610,000000,134.981,134.981,134.981,134.981,0,0
83001.HK,D,20220613,000000,131.94,131.94,131.093,131.093,3099.595208904,0
83001.HK,D,20220614,000000,129.448,129.448,129.448,129.448,0,0
83001.HK,D,20220615,000000,129.448,129.448,129.448,129.448,0,0
83001.HK,D,20220616,000000,130.146,130.146,130.146,130.146,0,0
83001.HK,D,20220617,000000,129.398,129.398,129.398,129.398,802.48419648,0
83001.HK,D,20220620,000000,128.9,129.348,128.85,128.9,2522.809692684,0
83001.HK,D,20220621,000000,128.9,128.9,128.9,128.9,0,0
83001.HK,D,20220622,000000,128.7,128.7,128.7,128.7,0,0
83001.HK,D,20220623,000000,127.404,127.504,126.108,126.108,2838.787845048,0
83001.HK,D,20220624,000000,121.971,121.971,121.971,121.971,0,0
83001.HK,D,20220627,000000,121.822,121.822,121.822,121.822,0,0
83001.HK,D,20220628,000000,118.432,118.432,118.432,118.432,0,0
83001.HK,D,20220629,000000,118.133,118.183,116.538,116.538,4418.678606868,0
83001.HK,D,20220630,000000,117.286,117.784,117.286,117.286,551.70788508,0
83001.HK,D,20220704,000000,116.04,116.04,116.04,116.04,0,0
83001.HK,D,20220705,000000,114.245,114.245,114.245,114.245,0,0
83001.HK,D,20220706,000000,113.099,113.099,113.099,113.099,0,0
83001.HK,D,20220707,000000,109.61,109.61,109.61,109.61,0,0
83001.HK,D,20220708,000000,107.117,107.117,107.117,107.117,0,0
83001.HK,D,20220711,000000,106.17,106.17,104.874,106.17,2006.2104912,0
83001.HK,D,20220712,000000,99.6406,99.6406,99.6406,99.6406,0,0
83001.HK,D,20220713,000000,96.1514,96.1514,96.1514,96.1514,0,0
83001.HK,D,20220714,000000,98.3446,98.3446,98.3446,98.3446,0,0
83001.HK,D,20220715,000000,98.3446,98.3446,98.3446,98.3446,0,0
83001.HK,D,20220718,000000,98.3446,98.3446,98.3446,98.3446,0,0
83001.HK,D,20220719,000000,96.5003,96.5003,96.5003,96.5003,0,0
83001.HK,D,20220720,000000,93.9084,93.9084,93.9084,93.9084,0,0
83001.HK,D,20220721,000000,92.0641,92.0641,90.2198,90.2198,4012.4209824,0
83001.HK,D,20220722,000000,90.6685,90.6685,90.6685,90.6685,0,0
83001.HK,D,20220725,000000,91.0672,91.0672,91.0672,91.0672,1003.1052456,0
83001.HK,D,20220726,000000,93.709,93.709,93.709,93.709,0,0
83001.HK,D,20220727,000000,95.2542,95.2542,95.2542,95.2542,0,0
83001.HK,D,20220728,000000,95.7028,95.7028,95.7028,95.7028,0,0
83001.HK,D,20220729,000000,95.7028,95.7028,95.7028,95.7028,0,0
83001.HK,D,20220801,000000,95.7028,95.7028,95.7028,95.7028,0,0
83001.HK,D,20220802,000000,94.7059,94.7059,94.7059,94.7059,0,0
83001.HK,D,20220803,000000,91.9146,92.2635,91.9146,91.9146,501.5526228,0
83001.HK,D,20220804,000000,90.17,90.818,90.17,90.17,55.170788508,0
83001.HK,D,20220805,000000,86.75,86.75,86.75,86.75,70,0
83001.HK,D,20220808,000000,86.15,86.15,86.15,86.15,0,0
83001.HK,D,20220809,000000,85.5,85.5,85.5,85.5,0,0
83001.HK,D,20220810,000000,85.5,85.5,85.5,85.5,0,0
83001.HK,D,20220811,000000,85.4,85.4,85.4,85.4,0,0
83001.HK,D,20220812,000000,84.85,84.85,84.85,84.85,0,0
83001.HK,D,20220815,000000,84.85,84.85,84.85,84.85,0,0
83001.HK,D,20220816,000000,93.4,93.4,93.4,93.4,0,0
83001.HK,D,20220817,000000,96.5,96.5,93.4,93.4,55,0
83001.HK,D,20220818,000000,93.4,93.4,93.4,93.4,0,0
83001.HK,D,20220819,000000,93.6,95.35,93.6,95.35,2950,0
83001.HK,D,20220822,000000,98.75,98.75,97.7,98.75,90,0
83001.HK,D,20220823,000000,101.3,102.5,101.3,102.5,2980,0
83001.HK,D,20220824,000000,105.25,105.25,104.65,105.25,1300,0
83001.HK,D,20220825,000000,112.4,115.55,111.9,115.55,5380,0
83001.HK,D,20220826,000000,120.75,120.75,120.75,120.75,0,0
83001.HK,D,20220829,000000,120.6,120.6,117.05,117.05,960,0
83001.HK,D,20220830,000000,116.75,116.75,116.75,116.75,0,0
83001.HK,D,20220831,000000,119,120.75,119,119.7,850,0
83001.HK,D,20220901,000000,119.7,119.7,119.7,119.7,0,0
83001.HK,D,20220902,000000,118.45,118.45,118.45,118.45,0,0
83001.HK,D,20220905,000000,113.7,113.7,113.7,113.7,1100,0
83001.HK,D,20220906,000000,115.3,115.3,115.3,115.3,0,0
83001.HK,D,20220907,000000,116.45,116.45,116.45,116.45,0,0
83001.HK,D,20220908,000000,116.75,116.75,116.75,116.75,0,0
83001.HK,D,20220909,000000,116.75,116.75,116.75,116.75,0,0
83001.HK,D,20220913,000000,116,116,116,116,75,0
83001.HK,D,20220914,000000,117.05,117.05,117.05,117.05,0,0
83001.HK,D,20220915,000000,119.2,119.75,119.2,119.75,1210,0
83001.HK,D,20220916,000000,121.45,121.45,121.45,121.45,0,0
83001.HK,D,20220919,000000,121.45,121.45,121.45,121.45,0,0
83001.HK,D,20220920,000000,121.45,121.45,121.45,121.45,0,0
83001.HK,D,20220921,000000,121.65,122.1,121.25,121.65,1860,0
83001.HK,D,20220922,000000,121.15,121.15,121.15,121.15,0,0
83001.HK,D,20220923,000000,118.9,118.9,118.9,118.9,0,0
83001.HK,D,20220926,000000,118.9,118.9,118.9,118.9,0,0
83001.HK,D,20220927,000000,117.7,117.7,117.7,117.7,200,0
83001.HK,D,20220928,000000,113.95,114,113.75,113.95,1695,0
83001.HK,D,20220929,000000,108.7,110.2,108.7,108.7,5410,0
83001.HK,D,20220930,000000,105.4,105.4,105.4,105.4,1170,0
83001.HK,D,20221003,000000,109.3,109.3,108,109.3,875,0
83001.HK,D,20221005,000000,106.45,106.45,106.45,106.45,0,0
83001.HK,D,20221006,000000,104.5,104.5,104.5,104.5,0,0
83001.HK,D,20221007,000000,102.95,102.95,102.95,102.95,0,0
83001.HK,D,20221010,000000,102.65,102.65,102.65,102.65,0,0
83001.HK,D,20221011,000000,99.85,99.85,99.85,99.85,920,0
83001.HK,D,20221012,000000,95.65,96,95.65,95.65,500,0
83001.HK,D,20221013,000000,94.1,94.1,94.1,94.1,0,0
83001.HK,D,20221014,000000,92.7,92.7,91.7,91.7,2090,0
83001.HK,D,20221017,000000,91.05,91.05,91.05,91.05,0,0
83001.HK,D,20221018,000000,86.75,86.75,86.75,86.75,0,0
83001.HK,D,20221019,000000,84.35,84.35,83.15,83.15,1100,0
83001.HK,D,20221020,000000,82.05,82.05,82.05,82.05,940,0
83001.HK,D,20221021,000000,79.75,79.75,78.25,78.25,1345,0
83001.HK,D,20221024,000000,75.85,75.85,75.05,75.05,5615,0
83001.HK,D,20221025,000000,74.25,74.25,74.25,74.25,0,0
83001.HK,D,20221026,000000,73.45,73.45,73,73,4200,0
83001.HK,D,20221027,000000,73,73,73,73,0,0
83001.HK,D,20221028,000000,70.65,71.8,70.65,70.65,350,0
83001.HK,D,20221031,000000,68.45,68.45,66.7,66.7,1400,0
83001.HK,D,20221101,000000,63.2,63.2,63.2,63.2,0,0
83001.HK,D,20221102,000000,61.85,62.05,61.85,62.05,1520,0
83001.HK,D,20221103,000000,62.25,62.85,62,62,3735,0
83001.HK,D,20221104,000000,62.35,62.35,62.35,62.35,0,0
83001.HK,D,20221107,000000,63.1,63.1,63.1,63.1,0,0
83001.HK,D,20221108,000000,61.55,61.6,61.25,61.25,4530,0
83001.HK,D,20221109,000000,64.8,66.05,64.8,66.05,1500,0
83001.HK,D,20221110,000000,69.55,69.55,69.1,69.55,240,0
83001.HK,D,20221111,000000,72.65,80.2,72.65,80.2,600,0
83001.HK,D,20221114,000000,96.15,96.15,95.65,96.15,3350,0
83001.HK,D,20221115,000000,99.5,102.8,99.5,99.5,8110,0
83001.HK,D,20221116,000000,101.4,102.3,100.95,101.05,7810,0
83001.HK,D,20221117,000000,100.55,100.55,97.25,97.4,14580,0
83001.HK,D,20221118,000000,96.5,96.5,95,95,2460,0
83001.HK,D,20221121,000000,94.75,94.75,94.35,94.35,1760,0
83001.HK,D,20221122,000000,92.9,92.9,92.9,92.9,1090,0
